complaint_id,complaint_text,fault_name,obd_code,fault_category
C449,I am worried about fuel line and fuel rail after it rains.,Fuel System Pressure Low,P0087,Fuel System
C450,Seems like fuel line and low fuel pressure during long trips.,Fuel System Pressure Low,P0087,Fuel System
C451,Hearing some noises regarding fuel line and bad fuel filter at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C452,Just started noticing fuel line and fuel system when braking.,Fuel System Pressure Low,P0087,Fuel System
C453,Driving feels bad due to fuel line and sputtering fuel when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C454,Can someone check the fuel line and hard start gas in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C455,I have a problem with fuel line and check engine gas while driving.,Fuel System Pressure Low,P0087,Fuel System
C456,My car has fuel rail and fuel pressure when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C457,Experiencing fuel rail and fuel pump on the highway.,Fuel System Pressure Low,P0087,Fuel System
C458,Noticed that fuel rail and injector clogged in the morning.,Fuel System Pressure Low,P0087,Fuel System
C459,The mechanic said fuel rail and stuttering acceleration recently.,Fuel System Pressure Low,P0087,Fuel System
C460,Dashboard shows fuel rail and fuel starvation and it is getting worse.,Fuel System Pressure Low,P0087,Fuel System
C461,Warning light for fuel rail and gas tank which is dangerous.,Fuel System Pressure Low,P0087,Fuel System
C462,Lately my vehicle has fuel rail and fuel line every time I drive.,Fuel System Pressure Low,P0087,Fuel System
C463,There is an issue with fuel rail and low fuel pressure,Fuel System Pressure Low,P0087,Fuel System
C464,I am worried about fuel rail and bad fuel filter after it rains.,Fuel System Pressure Low,P0087,Fuel System
C465,Seems like fuel rail and fuel system during long trips.,Fuel System Pressure Low,P0087,Fuel System
C466,Hearing some noises regarding fuel rail and sputtering fuel at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C467,Just started noticing fuel rail and hard start gas when braking.,Fuel System Pressure Low,P0087,Fuel System
C468,Driving feels bad due to fuel rail and check engine gas when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C469,Can someone check the low fuel pressure and fuel pressure in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C470,I have a problem with low fuel pressure and fuel pump while driving.,Fuel System Pressure Low,P0087,Fuel System
C471,My car has low fuel pressure and injector clogged when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C472,Experiencing low fuel pressure and stuttering acceleration on the highway.,Fuel System Pressure Low,P0087,Fuel System
C473,Noticed that low fuel pressure and fuel starvation in the morning.,Fuel System Pressure Low,P0087,Fuel System
C474,The mechanic said low fuel pressure and gas tank recently.,Fuel System Pressure Low,P0087,Fuel System
C475,Dashboard shows low fuel pressure and fuel line and it is getting worse.,Fuel System Pressure Low,P0087,Fuel System
C476,Warning light for low fuel pressure and fuel rail which is dangerous.,Fuel System Pressure Low,P0087,Fuel System
C477,Lately my vehicle has low fuel pressure and bad fuel filter every time I drive.,Fuel System Pressure Low,P0087,Fuel System
C478,There is an issue with low fuel pressure and fuel system,Fuel System Pressure Low,P0087,Fuel System
C479,I am worried about low fuel pressure and sputtering fuel after it rains.,Fuel System Pressure Low,P0087,Fuel System
C480,Seems like low fuel pressure and hard start gas during long trips.,Fuel System Pressure Low,P0087,Fuel System
C481,Hearing some noises regarding low fuel pressure and check engine gas at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C482,Just started noticing bad fuel filter and fuel pressure when braking.,Fuel System Pressure Low,P0087,Fuel System
C483,Driving feels bad due to bad fuel filter and fuel pump when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C484,Can someone check the bad fuel filter and injector clogged in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C485,I have a problem with bad fuel filter and stuttering acceleration while driving.,Fuel System Pressure Low,P0087,Fuel System
C486,My car has bad fuel filter and fuel starvation when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C487,Experiencing bad fuel filter and gas tank on the highway.,Fuel System Pressure Low,P0087,Fuel System
C488,Noticed that bad fuel filter and fuel line in the morning.,Fuel System Pressure Low,P0087,Fuel System
C489,The mechanic said bad fuel filter and fuel rail recently.,Fuel System Pressure Low,P0087,Fuel System
C490,Dashboard shows bad fuel filter and low fuel pressure and it is getting worse.,Fuel System Pressure Low,P0087,Fuel System
C491,Warning light for bad fuel filter and fuel system which is dangerous.,Fuel System Pressure Low,P0087,Fuel System
C492,Lately my vehicle has bad fuel filter and sputtering fuel every time I drive.,Fuel System Pressure Low,P0087,Fuel System
C493,There is an issue with bad fuel filter and hard start gas,Fuel System Pressure Low,P0087,Fuel System
C494,I am worried about bad fuel filter and check engine gas after it rains.,Fuel System Pressure Low,P0087,Fuel System
C495,Seems like fuel system and fuel pressure during long trips.,Fuel System Pressure Low,P0087,Fuel System
C496,Hearing some noises regarding fuel system and fuel pump at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C497,Just started noticing fuel system and injector clogged when braking.,Fuel System Pressure Low,P0087,Fuel System
C498,Driving feels bad due to fuel system and stuttering acceleration when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C499,Can someone check the fuel system and fuel starvation in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C500,I have a problem with fuel system and gas tank while driving.,Fuel System Pressure Low,P0087,Fuel System
C501,My car has fuel system and fuel line when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C502,Experiencing fuel system and fuel rail on the highway.,Fuel System Pressure Low,P0087,Fuel System
C503,Noticed that fuel system and low fuel pressure in the morning.,Fuel System Pressure Low,P0087,Fuel System
C504,The mechanic said fuel system and bad fuel filter recently.,Fuel System Pressure Low,P0087,Fuel System
C505,Dashboard shows fuel system and sputtering fuel and it is getting worse.,Fuel System Pressure Low,P0087,Fuel System
C506,Warning light for fuel system and hard start gas which is dangerous.,Fuel System Pressure Low,P0087,Fuel System
C507,Lately my vehicle has fuel system and check engine gas every time I drive.,Fuel System Pressure Low,P0087,Fuel System
C508,There is an issue with sputtering fuel and fuel pressure,Fuel System Pressure Low,P0087,Fuel System
C509,I am worried about sputtering fuel and fuel pump after it rains.,Fuel System Pressure Low,P0087,Fuel System
C510,Seems like sputtering fuel and injector clogged during long trips.,Fuel System Pressure Low,P0087,Fuel System
C511,Hearing some noises regarding sputtering fuel and stuttering acceleration at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C512,Just started noticing sputtering fuel and fuel starvation when braking.,Fuel System Pressure Low,P0087,Fuel System
C513,Driving feels bad due to sputtering fuel and gas tank when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C514,Can someone check the sputtering fuel and fuel line in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C515,I have a problem with sputtering fuel and fuel rail while driving.,Fuel System Pressure Low,P0087,Fuel System
C516,My car has sputtering fuel and low fuel pressure when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C517,Experiencing sputtering fuel and bad fuel filter on the highway.,Fuel System Pressure Low,P0087,Fuel System
C518,Noticed that sputtering fuel and fuel system in the morning.,Fuel System Pressure Low,P0087,Fuel System
C519,The mechanic said sputtering fuel and hard start gas recently.,Fuel System Pressure Low,P0087,Fuel System
C520,Dashboard shows sputtering fuel and check engine gas and it is getting worse.,Fuel System Pressure Low,P0087,Fuel System
C521,Warning light for hard start gas and fuel pressure which is dangerous.,Fuel System Pressure Low,P0087,Fuel System
C522,Lately my vehicle has hard start gas and fuel pump every time I drive.,Fuel System Pressure Low,P0087,Fuel System
C523,There is an issue with hard start gas and injector clogged,Fuel System Pressure Low,P0087,Fuel System
C524,I am worried about hard start gas and stuttering acceleration after it rains.,Fuel System Pressure Low,P0087,Fuel System
C525,Seems like hard start gas and fuel starvation during long trips.,Fuel System Pressure Low,P0087,Fuel System
C526,Hearing some noises regarding hard start gas and gas tank at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C527,Just started noticing hard start gas and fuel line when braking.,Fuel System Pressure Low,P0087,Fuel System
C528,Driving feels bad due to hard start gas and fuel rail when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C529,Can someone check the hard start gas and low fuel pressure in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C530,I have a problem with hard start gas and bad fuel filter while driving.,Fuel System Pressure Low,P0087,Fuel System
C531,My car has hard start gas and fuel system when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C532,Experiencing hard start gas and sputtering fuel on the highway.,Fuel System Pressure Low,P0087,Fuel System
C533,Noticed that hard start gas and check engine gas in the morning.,Fuel System Pressure Low,P0087,Fuel System
C534,The mechanic said check engine gas and fuel pressure recently.,Fuel System Pressure Low,P0087,Fuel System
C535,Dashboard shows check engine gas and fuel pump and it is getting worse.,Fuel System Pressure Low,P0087,Fuel System
C536,Warning light for check engine gas and injector clogged which is dangerous.,Fuel System Pressure Low,P0087,Fuel System
C537,Lately my vehicle has check engine gas and stuttering acceleration every time I drive.,Fuel System Pressure Low,P0087,Fuel System
C538,There is an issue with check engine gas and fuel starvation,Fuel System Pressure Low,P0087,Fuel System
C539,I am worried about check engine gas and gas tank after it rains.,Fuel System Pressure Low,P0087,Fuel System
C540,Seems like check engine gas and fuel line during long trips.,Fuel System Pressure Low,P0087,Fuel System
C541,Hearing some noises regarding check engine gas and fuel rail at low speeds.,Fuel System Pressure Low,P0087,Fuel System
C542,Just started noticing check engine gas and low fuel pressure when braking.,Fuel System Pressure Low,P0087,Fuel System
C543,Driving feels bad due to check engine gas and bad fuel filter when accelerating.,Fuel System Pressure Low,P0087,Fuel System
C544,Can someone check the check engine gas and fuel system in cold weather.,Fuel System Pressure Low,P0087,Fuel System
C545,I have a problem with check engine gas and sputtering fuel while driving.,Fuel System Pressure Low,P0087,Fuel System
C546,My car has check engine gas and hard start gas when I start the car.,Fuel System Pressure Low,P0087,Fuel System
C547,I have a problem with oxygen and sensor while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C548,My car has oxygen and o2 when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C549,Experiencing oxygen and lambda on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C550,Noticed that oxygen and emissions in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C551,The mechanic said oxygen and exhaust recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C552,Dashboard shows oxygen and rich and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C553,Warning light for oxygen and lean which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C554,Lately my vehicle has oxygen and smell every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C555,There is an issue with oxygen and unburnt,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C556,I am worried about oxygen and fuel trim after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C557,Seems like oxygen and catalytic during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C558,Hearing some noises regarding oxygen and rotten egg at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C559,Just started noticing oxygen and poor mileage when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C560,Driving feels bad due to sensor and oxygen when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C561,Can someone check the sensor and o2 in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C562,I have a problem with sensor and lambda while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C563,My car has sensor and emissions when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C564,Experiencing sensor and exhaust on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C565,Noticed that sensor and rich in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C566,The mechanic said sensor and lean recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C567,Dashboard shows sensor and smell and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C568,Warning light for sensor and unburnt which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C569,Lately my vehicle has sensor and fuel trim every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C570,There is an issue with sensor and catalytic,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C571,I am worried about sensor and rotten egg after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C572,Seems like sensor and poor mileage during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C573,Hearing some noises regarding o2 and oxygen at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C574,Just started noticing o2 and sensor when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C575,Driving feels bad due to o2 and lambda when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C576,Can someone check the o2 and emissions in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C577,I have a problem with o2 and exhaust while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C578,My car has o2 and rich when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C579,Experiencing o2 and lean on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C580,Noticed that o2 and smell in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C581,The mechanic said o2 and unburnt recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C582,Dashboard shows o2 and fuel trim and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C583,Warning light for o2 and catalytic which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C584,Lately my vehicle has o2 and rotten egg every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C585,There is an issue with o2 and poor mileage,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C586,I am worried about lambda and oxygen after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C587,Seems like lambda and sensor during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C588,Hearing some noises regarding lambda and o2 at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C589,Just started noticing lambda and emissions when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C590,Driving feels bad due to lambda and exhaust when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C591,Can someone check the lambda and rich in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C592,I have a problem with lambda and lean while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C593,My car has lambda and smell when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C594,Experiencing lambda and unburnt on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C595,Noticed that lambda and fuel trim in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C596,The mechanic said lambda and catalytic recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C597,Dashboard shows lambda and rotten egg and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C598,Warning light for lambda and poor mileage which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C599,Lately my vehicle has emissions and oxygen every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C600,There is an issue with emissions and sensor,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C601,I am worried about emissions and o2 after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C602,Seems like emissions and lambda during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C603,Hearing some noises regarding emissions and exhaust at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C604,Just started noticing emissions and rich when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C605,Driving feels bad due to emissions and lean when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C606,Can someone check the emissions and smell in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C607,I have a problem with emissions and unburnt while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C608,My car has emissions and fuel trim when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C609,Experiencing emissions and catalytic on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C610,Noticed that emissions and rotten egg in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C611,The mechanic said emissions and poor mileage recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C612,Dashboard shows exhaust and oxygen and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C613,Warning light for exhaust and sensor which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C614,Lately my vehicle has exhaust and o2 every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C615,There is an issue with exhaust and lambda,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C616,I am worried about exhaust and emissions after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C617,Seems like exhaust and rich during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C618,Hearing some noises regarding exhaust and lean at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C619,Just started noticing exhaust and smell when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C620,Driving feels bad due to exhaust and unburnt when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C621,Can someone check the exhaust and fuel trim in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C622,I have a problem with exhaust and catalytic while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C623,My car has exhaust and rotten egg when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C624,Experiencing exhaust and poor mileage on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C625,Noticed that rich and oxygen in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C626,The mechanic said rich and sensor recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C627,Dashboard shows rich and o2 and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C628,Warning light for rich and lambda which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C629,Lately my vehicle has rich and emissions every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C630,There is an issue with rich and exhaust,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C631,I am worried about rich and lean after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C632,Seems like rich and smell during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C633,Hearing some noises regarding rich and unburnt at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C634,Just started noticing rich and fuel trim when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C635,Driving feels bad due to rich and catalytic when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C636,Can someone check the rich and rotten egg in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C637,I have a problem with rich and poor mileage while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C638,My car has lean and oxygen when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C639,Experiencing lean and sensor on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C640,Noticed that lean and o2 in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C641,The mechanic said lean and lambda recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C642,Dashboard shows lean and emissions and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C643,Warning light for lean and exhaust which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C644,Lately my vehicle has lean and rich every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C645,There is an issue with lean and smell,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C646,I am worried about lean and unburnt after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C647,Seems like lean and fuel trim during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C648,Hearing some noises regarding lean and catalytic at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C649,Just started noticing lean and rotten egg when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C650,Driving feels bad due to lean and poor mileage when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C651,Can someone check the smell and oxygen in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C652,I have a problem with smell and sensor while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C653,My car has smell and o2 when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C654,Experiencing smell and lambda on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C655,Noticed that smell and emissions in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C656,The mechanic said smell and exhaust recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C657,Dashboard shows smell and rich and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C658,Warning light for smell and lean which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C659,Lately my vehicle has smell and unburnt every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C660,There is an issue with smell and fuel trim,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C661,I am worried about smell and catalytic after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C662,Seems like smell and rotten egg during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C663,Hearing some noises regarding smell and poor mileage at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C664,Just started noticing unburnt and oxygen when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C665,Driving feels bad due to unburnt and sensor when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C666,Can someone check the unburnt and o2 in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C667,I have a problem with unburnt and lambda while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C668,My car has unburnt and emissions when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C669,Experiencing unburnt and exhaust on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C670,Noticed that unburnt and rich in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C671,The mechanic said unburnt and lean recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C672,Dashboard shows unburnt and smell and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C673,Warning light for unburnt and fuel trim which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C674,Lately my vehicle has unburnt and catalytic every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C675,There is an issue with unburnt and rotten egg,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C676,I am worried about unburnt and poor mileage after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C677,Seems like fuel trim and oxygen during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C678,Hearing some noises regarding fuel trim and sensor at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C679,Just started noticing fuel trim and o2 when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C680,Driving feels bad due to fuel trim and lambda when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C681,Can someone check the fuel trim and emissions in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C682,I have a problem with fuel trim and exhaust while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C683,My car has fuel trim and rich when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C684,Experiencing fuel trim and lean on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C685,Noticed that fuel trim and smell in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C686,The mechanic said fuel trim and unburnt recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C687,Dashboard shows fuel trim and catalytic and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C688,Warning light for fuel trim and rotten egg which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C689,Lately my vehicle has fuel trim and poor mileage every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C690,There is an issue with catalytic and oxygen,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C691,I am worried about catalytic and sensor after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C692,Seems like catalytic and o2 during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C693,Hearing some noises regarding catalytic and lambda at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C694,Just started noticing catalytic and emissions when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C695,Driving feels bad due to catalytic and exhaust when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C696,Can someone check the catalytic and rich in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C697,I have a problem with catalytic and lean while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C698,My car has catalytic and smell when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C699,Experiencing catalytic and unburnt on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C700,Noticed that catalytic and fuel trim in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C701,The mechanic said catalytic and rotten egg recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C702,Dashboard shows catalytic and poor mileage and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C703,Warning light for rotten egg and oxygen which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C704,Lately my vehicle has rotten egg and sensor every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C705,There is an issue with rotten egg and o2,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C706,I am worried about rotten egg and lambda after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C707,Seems like rotten egg and emissions during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C708,Hearing some noises regarding rotten egg and exhaust at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C709,Just started noticing rotten egg and rich when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C710,Driving feels bad due to rotten egg and lean when accelerating.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C711,Can someone check the rotten egg and smell in cold weather.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C712,I have a problem with rotten egg and unburnt while driving.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C713,My car has rotten egg and fuel trim when I start the car.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C714,Experiencing rotten egg and catalytic on the highway.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C715,Noticed that rotten egg and poor mileage in the morning.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C716,The mechanic said poor mileage and oxygen recently.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C717,Dashboard shows poor mileage and sensor and it is getting worse.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C718,Warning light for poor mileage and o2 which is dangerous.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C719,Lately my vehicle has poor mileage and lambda every time I drive.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C720,There is an issue with poor mileage and emissions,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C721,I am worried about poor mileage and exhaust after it rains.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C722,Seems like poor mileage and rich during long trips.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C723,Hearing some noises regarding poor mileage and lean at low speeds.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
C724,Just started noticing poor mileage and smell when braking.,Oxygen Sensor Fault,P0131,Emissions and Exhaust
